id,title,url,authority,domain,access,note
SRC-048,3GPP Specifications Portal,https://www.3gpp.org/specifications-technologies/specifications-by-series,Standards body,Cellular standards,Public,Normative cellular and IMS standards series; individual specifications have release/version context.
SRC-049,GSMA eSIM,https://www.gsma.com/solutions-and-impact/technologies/esim/,Industry association,eSIM,Public/member documents vary,"eSIM ecosystem, specifications, certification and participant roles."
SRC-050,PTCRB Certification Program,https://www.ptcrb.com/certification-program/,Certification body,Cellular certification,Public,Device certification scope and authorized-lab process for applicable markets.
SRC-051,Global Certification Forum,https://www.globalcertificationforum.org/,Certification body,Cellular certification,Public/member,Global device certification scheme and test requirements.
SRC-052,EU Software Directive 2009/24/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009L0024,Official law,Interoperability law,Public,EU software copyright rules including decompilation/interoperability conditions.
SRC-053,US Copyright Office 2024 Section 1201 Rulemaking,https://www.copyright.gov/1201/2024/,Official government source,Anti-circumvention,Public,Current triennial exemption materials; counsel must confirm exact class and conditions.
SRC-054,FCC Equipment Authorization,https://www.fcc.gov/oet/ea,Official regulator,Radio regulation,Public,US RF equipment authorization and filing framework.
SRC-055,EU Radio Equipment Directive,https://single-market-economy.ec.europa.eu/sectors/electrical-and-electronic-engineering-industries-eei/radio-equipment-directive-red_en,Official EU source,Radio regulation,Public,"EU RED scope, conformity and current delegated cybersecurity requirements."
SRC-056,EU Cyber Resilience Act,https://digital-strategy.ec.europa.eu/en/policies/cyber-resilience-act,Official EU source,Product cybersecurity,Public,Cybersecurity requirements and transition timeline for products with digital elements.
SRC-057,EU General Data Protection Regulation,https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official law,Privacy,Public,"Personal-data processing, rights, controller/processor and security obligations."
SRC-058,NIST Secure Software Development Framework,https://csrc.nist.gov/Projects/ssdf,Official standard guidance,Secure development,Public,Secure development practice framework.
SRC-059,SLSA Specification,https://slsa.dev/spec/,Primary project/specification,Supply-chain security,Public,Build provenance and software supply-chain assurance levels.
SRC-060,SPDX Specifications,https://spdx.dev/specifications/,Standards project,Licensing/SBOM,Public,License identifiers and software bill of materials specifications.
SRC-061,OpenChain ISO/IEC 5230,https://www.openchainproject.org/license-compliance,Standards project,OSS compliance,Public,Open-source license compliance program requirements.
SRC-062,REUSE Specification,https://reuse.software/spec/,Primary project,License provenance,Public,Machine-readable copyright and licensing information per file.
SRC-063,Developer Certificate of Origin,https://developercertificate.org/,Canonical text,Contributions,Public,Contributor certification used with Signed-off-by workflow.
SRC-064,CERN Open Hardware Licence,https://ohwr.org/cern_ohl_s_v2.pdf,License steward,Hardware licensing,Public,Open hardware licence variants; counsel to select permissive/weak/strong reciprocity.
SRC-065,Open Source Hardware Association Certification,https://certification.oshwa.org/,Program owner,Open hardware,Public,Open-source hardware certification definition and process.
SRC-066,Apache License 2.0,https://www.apache.org/licenses/LICENSE-2.0,License steward,Software licensing,Public,Permissive license with express patent grant and notice requirements.
SRC-067,MIT License,https://opensource.org/license/mit,OSI,Software licensing,Public,Short permissive software license.
SRC-068,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,License steward,Documentation licensing,Public,Attribution license suitable for public documentation where approved.
SRC-069,GitHub Documentation — About CODEOWNERS,https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners,Official product documentation,Repository governance,Public,Ownership and review routing.
SRC-070,Linear Documentation — Project Timeline,https://linear.app/docs/project-timeline,Official product documentation,Planning tooling,Public,Project timeline/Gantt-like visualization and project planning.
SRC-071,Linear Documentation — Project Milestones,https://linear.app/docs/project-milestones,Official product documentation,Planning tooling,Public,Milestone creation and timeline use.
SRC-072,Linear Documentation — Project Dependencies,https://linear.app/docs/project-dependencies,Official product documentation,Planning tooling,Public,Cross-project dependency visualization and relationships.
SRC-073,Linear Documentation — Importers,https://linear.app/docs/importers,Official product documentation,Planning tooling,Public,Supported import mechanisms and staging considerations.
SRC-074,Mermaid Gantt Syntax,https://mermaid.js.org/syntax/gantt.html,Primary project documentation,Documentation tooling,Public,Version-controlled text Gantt format.
SRC-075,Android AppFunctions,https://developer.android.com/ai/appfunctions,Official documentation,Agent actions,Public,Structured application functions exposed to system agents.
SRC-076,Apple App Intents,https://developer.apple.com/documentation/appintents,Official documentation,Agent actions,Public,Typed actions and entities integrated with Apple system experiences.
SRC-077,Model Context Protocol Specification,https://modelcontextprotocol.io/specification/2025-11-25,Primary specification,Agent protocols,Public,"Protocol for tools, resources, prompts, authorization, and transports."
SRC-078,Automerge Documentation,https://automerge.org/docs/hello/,Primary project,Local-first data,Public,CRDT document model and synchronization prior art.
SRC-079,Keyhive Notebook,https://www.inkandswitch.com/keyhive/notebook/,Primary research project,Authorization,Public,Capability-inspired local-first authorization research.
SRC-080,Loro Documentation,https://loro.dev/docs,Primary project,Local-first data,Public,CRDT and versioning implementation prior art.
SRC-081,Malleable Software Essay,https://www.inkandswitch.com/essay/malleable-software/,Primary research essay,Product model,Public,User-modifiable software and composable tools.
SRC-082,Android Build Pixel Kernels,https://source.android.com/docs/setup/build/building-pixel-kernels,Official documentation,Pixel,Public,Published kernel build workflow and scope.
SRC-083,libcamera Architecture,https://docs.libcamera.org/master/,Primary project documentation,Camera,Public,"Open camera pipeline handler, IPA, controls, and application API."
SRC-084,Raspberry Pi PiSP Specification,https://datasheets.raspberrypi.com/camera/raspberry-pi-image-signal-processor-specification.pdf,Official specification,ISP,Public,Published ISP programming model and blocks.
SRC-085,TI AM67A Product Page,https://www.ti.com/product/AM67A,Official vendor documentation,Hardware,Public,Documented Arm application processor with image and vision acceleration.
SRC-086,NXP i.MX 8M Plus Product Page,https://www.nxp.com/products/i.MX8MPLUS,Official vendor documentation,Hardware,Public,"Industrial application processor, ISP/NPU and longevity programme information."
SRC-087,BeagleY-AI Documentation,https://docs.beagleboard.org/boards/beagley/ai/,Official board documentation,Hardware,Public,Open development board documentation and community resources.
SRC-088,Radxa ROCK 5B Documentation,https://docs.radxa.com/en/rock5/rock5b,Official board documentation,Hardware,Public,"RK3588 board interfaces, recovery, and hardware documentation."
SRC-089,PINE64 PinePhone Pro,https://pine64.org/devices/pinephone_pro/,Official vendor documentation,Open phone,Public,Phone-form-factor hardware and published limitations.
SRC-090,postmarketOS Devices,https://wiki.postmarketos.org/wiki/Devices,Primary project documentation,Open phone,Public,Community device-support maturity and mainline status.
SRC-091,Sony Open Devices,https://developer.sony.com/open-source/aosp-on-xperia-open-devices,Official vendor programme,Semi-open phone,Public,"AOSP device programme, supported devices, binaries, and build guides."
SRC-092,Fairphone Bootloader Unlock,https://support.fairphone.com/hc/en-us/articles/10492476238865-Manage-the-bootloader,Official vendor documentation,Semi-open phone,Public,Unlock and relock process with device-specific checks.
SRC-093,Fairphone Open Source Code,https://support.fairphone.com/hc/en-us/articles/9979180437393-Open-source-code,Official vendor documentation,Semi-open phone,Public,Published source packages and compliance material.
SRC-094,US Copyright Office 2024 Section 1201 Recommendation,https://www.copyright.gov/1201/2024/2024_Section_1201_Registers_Recommendation.pdf,Official government publication,Legal,Public,Current exemption analysis; not a blanket reverse-engineering authorization.
SRC-095,Bluetooth Qualification Process,https://www.bluetooth.com/develop-with-bluetooth/qualification-listing/,Standards body,Regulatory,Public,Bluetooth qualification and listing obligations.
SRC-096,Wi-Fi Alliance Certification,https://www.wi-fi.org/certification,Industry alliance,Regulatory,Public,Wi-Fi certification programme overview.
SRC-097,GSMA eSIM Specifications,https://www.gsma.com/solutions-and-impact/technologies/esim/gsma-esim-specifications/,Industry standards body,Telephony,Public,Consumer and IoT eSIM architecture and specifications.
SRC-098,3GPP Specifications Portal,https://www.3gpp.org/specifications,Standards body,Telephony,Public,Cellular and IMS normative specifications.
SRC-099,Mesa Panfrost Documentation,https://docs.mesa3d.org/drivers/panfrost.html,Primary project documentation,GPU,Public,Open Mali userspace driver scope and limitations.
AOS-SRC-N001,Normalized Digest: Agent OS Product Vision,sources/normalized/N001-agent-os-product-vision.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N002,Normalized Digest: Wider Lens Research,sources/normalized/N002-wider-lens.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N003,"Normalized Digest: iOS, Android, and Agent OS Comparison",sources/normalized/N003-mobile-os-comparison.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N004,Normalized Digest: Product Prior Art Atlas,sources/normalized/N004-prior-art-atlas.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N005,Normalized Digest: Naming Decision,sources/normalized/N005-naming-decision.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N006,Normalized Digest: Custom Fuchsia-Based Mobile OS Specification,sources/normalized/N006-custom-os-pdf-digest.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N007,Normalized Digest: Fuchsia Developer Guide,sources/normalized/N007-fuchsia-guide-digest.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N008,Normalized Digest: Existing Implementation Specs 000–050,sources/normalized/N008-implementation-specs-digest.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-N009,Normalized Digest: Nine-Phase Source Session Plan,sources/normalized/N009-session-plan-digest.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
AOS-SRC-NINDEX,Normalized Source Digest Index,sources/normalized/INDEX.md,Project normalized source,Source corpus,Bundled,English digest with explicit disposition; original material remains immutable in sources/original.
