External ID,Title,Description,Status,Priority,Assignee,Project,Team,Labels,Parent External ID,Start Date,Due Date,Milestone,Estimate Days
AOS-DOCS-010,Publish executive briefing and onboarding path,"**Outcome.** Provide a decision-ready summary and reading path for engineers, partners, counsel, funders, and contributors.

**Scope.** Produce and integrate: BRIEFING.md; README reading path; audience-specific links. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- A reader can identify the decision, constraints, hardware tracks, first 90 days, budget range, legal boundary, and next gate without oral context
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
BRIEFING.md; README reading path; audience-specific links

## Verification
review by architecture, product, hardware, security, legal, and community leads

## Evidence
sign-off list; unresolved questions

## Traceability
Specs: AOS-BRIEF#executive-decision;AOS-README#start-here
Sources: none
Claims: none
Experiments: none",Backlog,P1,,Program Operations and Specifications,Program,"aos-docs,documentation,p1,task",AOS-DOCS-000,2026-07-27,2026-08-02,M0,3
AOS-DOCS-011,Generate and review Wiki publication preview,"**Outcome.** Create a flat GitHub-Wiki-compatible preview while preserving source IDs, anchors, links, and provenance.

**Scope.** Produce and integrate: wiki directory; Home page; sidebar/index; redirect map; publication report. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Generated Wiki has no broken internal link and contains a visible generated/non-authoritative notice
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
wiki directory; Home page; sidebar/index; redirect map; publication report

## Verification
crawl all generated pages and compare xref targets to source

## Evidence
publication report; link graph; file hash list

## Traceability
Specs: AOS-META-001#publishing-flow;AOS-META-004#generated-artifacts
Sources: none
Claims: none
Experiments: none",Backlog,P2,,Program Operations and Specifications,Program,"aos-docs,publication,p2,task",AOS-DOCS-000,2026-07-27,2026-08-02,M0,4
AOS-DOCS-012,Tag documentation baseline release,"**Outcome.** Bind the normative document set, task data, source/claim/experiment registers, and validation results to a release.

**Scope.** Produce and integrate: versioned archive; manifest; checksums; signed/tagged release plan. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- The archive rebuilds deterministically enough to reproduce all generated documents and CSV row counts
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
versioned archive; manifest; checksums; signed/tagged release plan

## Verification
clean rebuild and validation from packaged source

## Evidence
release manifest; checksums; validator outputs

## Traceability
Specs: AOS-GOV-001#release-baseline;AOS-MANIFEST#validation-status
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,publication,p0,decision",AOS-DOCS-000,2026-08-03,2026-08-09,M0,2
AOS-DOCS-013,Operate monthly documentation and tracker reconciliation,"**Outcome.** Detect drift among specifications, canonical CSV, GitHub, Linear, milestones, evidence, risks, and budgets.

**Scope.** Produce and integrate: monthly drift report; proposed source updates; orphaned/overdue relationship list. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- No P0/P1 issue, gate, risk, or accepted specification remains inconsistent across systems for more than one review cycle
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
monthly drift report; proposed source updates; orphaned/overdue relationship list

## Verification
compare IDs, states, dates, dependencies and links across systems

## Evidence
dated reconciliation report and approved changes

## Traceability
Specs: AOS-PLAN-008#agent-rules;AOS-GOV-001#release-baseline
Sources: none
Claims: none
Experiments: none",Backlog,P2,,Program Operations and Specifications,Program,"aos-docs,program-controls,p2,review",AOS-DOCS-000,2026-08-10,2030-07-07,Continuous,2
AOS-DOCS-020,Freeze and checksum the complete HyperOS/Agent OS source corpus,"**Outcome.** Freeze and checksum the complete HyperOS/Agent OS source corpus.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-SRC-README#immutability, AOS-RES-005#authority. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Freeze and checksum the complete HyperOS/Agent OS source corpus; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-SRC-README#immutability;AOS-RES-005#authority
Sources: AOS-SRC-NINDEX
Claims: none
Experiments: none",Planned,P0,,Program Operations and Specifications,Program,"aos-docs,source-corpus,phase-0,volume-01",AOS-DOCS-000,2026-07-13,2026-07-26,M0,5
AOS-DOCS-021,Normalize the product vision into English source digests,"**Outcome.** Normalize the product vision into English source digests.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-SRC-N001#product-thesis, AOS-SRC-N002#implications. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Normalize the product vision into English source digests; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-SRC-N001#thesis;AOS-SRC-N002#downstream
Sources: AOS-SRC-N001;AOS-SRC-N002
Claims: none
Experiments: none",Planned,P0,,Program Operations and Specifications,Program,"aos-docs,source-normalization,phase-0,volume-01",AOS-DOCS-000,2026-07-13,2026-08-02,M0,8
AOS-DOCS-022,Publish the source authority and conflict map,"**Outcome.** Publish the source authority and conflict map.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-RES-005#authority, AOS-RES-005#conflicts. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Publish the source authority and conflict map; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-RES-005#authority;AOS-RES-005#conflicts
Sources: AOS-SRC-NINDEX
Claims: CLM-001
Experiments: none",Planned,P0,,Program Operations and Specifications,Program,"aos-docs,source-governance,phase-0,volume-04",AOS-DOCS-000,2026-07-20,2026-08-09,M0,8
AOS-DOCS-023,Define canonical cross-reference and anchor syntax,"**Outcome.** Define canonical cross-reference and anchor syntax.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-META-001#xref-syntax, AOS-VAL-003#checks. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Define canonical cross-reference and anchor syntax; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-META-001#xref-syntax;AOS-VAL-003#checks
Sources: none
Claims: none
Experiments: none",Planned,P0,,Program Operations and Specifications,Program,"aos-docs,documentation-system,phase-0,volume-01",AOS-DOCS-000,2026-07-13,2026-07-26,M0,5
AOS-DOCS-024,Build the ten-volume coverage and ownership matrix,"**Outcome.** Build the ten-volume coverage and ownership matrix.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-PLAN-011#volumes, AOS-PLAN-011#completion. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Build the ten-volume coverage and ownership matrix; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-PLAN-011#volumes;AOS-PLAN-011#definition-of-done
Sources: none
Claims: none
Experiments: none",Planned,P0,,Program Operations and Specifications,Program,"aos-docs,documentation-program,phase-0,volume-06",AOS-DOCS-000,2026-07-20,2026-08-09,M0,8
AOS-DOCS-025,Build the Phase 0–8 execution and gate matrix,"**Outcome.** Build the Phase 0–8 execution and gate matrix.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-PLAN-010#phase-table, AOS-PLAN-010#gates. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Build the Phase 0–8 execution and gate matrix; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-PLAN-010#phase-table;AOS-PLAN-010#gates
Sources: none
Claims: none
Experiments: none",Planned,P0,,Program Operations and Specifications,Program,"aos-docs,program-model,phase-0,volume-06",AOS-DOCS-000,2026-07-20,2026-08-09,M0,8
AOS-DOCS-026,Create the specialist review responsibility matrix,"**Outcome.** Create the specialist review responsibility matrix.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-PLAN-015#reviews, AOS-VAL-003#review-status. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.

## Acceptance criteria
- The deliverable is linked to every listed specification and uses stable document/task/source identifiers.
- The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.
- Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.
- Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.

## Deliverables
Normative report or implementation for Create the specialist review responsibility matrix; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.

## Verification
Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.

## Evidence
Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.

## Traceability
Specs: AOS-PLAN-015#weekly;AOS-VAL-003#review-status
Sources: none
Claims: none
Experiments: none",Planned,P1,,Program Operations and Specifications,Program,"aos-docs,review-governance,phase-0,volume-06",AOS-DOCS-000,2026-07-27,2026-08-16,M0,8
