task_id,title,issue_type,track,workstream,parent_id,summary,description,acceptance_criteria,dependencies,related_tasks,related_specs,priority,risk,owner_role,estimate_days,start_week,duration_weeks,start_date,target_date,milestone,status,github_labels,linear_team,linear_project,deliverables,verification,evidence,source_refs,implementation_phase,documentation_volume,claim_refs,experiment_refs,review_required,public_output
AOS-DOCS-010,Publish executive briefing and onboarding path,Task,AOS-DOCS,Documentation,AOS-DOCS-000,"Provide a decision-ready summary and reading path for engineers, partners, counsel, funders, and contributors.","**Outcome.** Provide a decision-ready summary and reading path for engineers, partners, counsel, funders, and contributors.

**Scope.** Produce and integrate: BRIEFING.md; README reading path; audience-specific links. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","A reader can identify the decision, constraints, hardware tracks, first 90 days, budget range, legal boundary, and next gate without oral context; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-003;AOS-DOCS-008;AOS-DOCS-009,AOS-BRIEF#executive-decision;AOS-README#start-here,P1,Low,Program Lead,3,2,1,2026-07-27,2026-08-02,M0,Backlog,aos-docs;documentation;p1;task,Program,Program Operations and Specifications,BRIEFING.md; README reading path; audience-specific links,"review by architecture, product, hardware, security, legal, and community leads",sign-off list; unresolved questions,,Phase 0,Volume 06,,,,No
AOS-DOCS-011,Generate and review Wiki publication preview,Task,AOS-DOCS,Publication,AOS-DOCS-000,"Create a flat GitHub-Wiki-compatible preview while preserving source IDs, anchors, links, and provenance.","**Outcome.** Create a flat GitHub-Wiki-compatible preview while preserving source IDs, anchors, links, and provenance.

**Scope.** Produce and integrate: wiki directory; Home page; sidebar/index; redirect map; publication report. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Generated Wiki has no broken internal link and contains a visible generated/non-authoritative notice; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",AOS-DOCS-002,AOS-DOCS-007;AOS-DOCS-010,AOS-META-001#publishing-flow;AOS-META-004#generated-artifacts,P2,Low,Documentation Engineer,4,2,1,2026-07-27,2026-08-02,M0,Backlog,aos-docs;publication;p2;task,Program,Program Operations and Specifications,wiki directory; Home page; sidebar/index; redirect map; publication report,crawl all generated pages and compare xref targets to source,publication report; link graph; file hash list,,Phase 0,Volume 10,,,,No
AOS-DOCS-012,Tag documentation baseline release,Decision,AOS-DOCS,Publication,AOS-DOCS-000,"Bind the normative document set, task data, source/claim/experiment registers, and validation results to a release.","**Outcome.** Bind the normative document set, task data, source/claim/experiment registers, and validation results to a release.

**Scope.** Produce and integrate: versioned archive; manifest; checksums; signed/tagged release plan. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","The archive rebuilds deterministically enough to reproduce all generated documents and CSV row counts; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",AOS-DOCS-004;AOS-DOCS-005;AOS-DOCS-006;AOS-DOCS-007;AOS-DOCS-011,,AOS-GOV-001#release-baseline;AOS-MANIFEST#validation-status,P0,Low,Program Lead,2,3,1,2026-08-03,2026-08-09,M0,Backlog,aos-docs;publication;p0;decision,Program,Program Operations and Specifications,versioned archive; manifest; checksums; signed/tagged release plan,clean rebuild and validation from packaged source,release manifest; checksums; validator outputs,,Phase 0,Volume 10,,,,No
AOS-DOCS-013,Operate monthly documentation and tracker reconciliation,Review,AOS-DOCS,Program Controls,AOS-DOCS-000,"Detect drift among specifications, canonical CSV, GitHub, Linear, milestones, evidence, risks, and budgets.","**Outcome.** Detect drift among specifications, canonical CSV, GitHub, Linear, milestones, evidence, risks, and budgets.

**Scope.** Produce and integrate: monthly drift report; proposed source updates; orphaned/overdue relationship list. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","No P0/P1 issue, gate, risk, or accepted specification remains inconsistent across systems for more than one review cycle; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",AOS-DOCS-012,,AOS-PLAN-008#agent-rules;AOS-GOV-001#release-baseline,P2,Medium,Program Operations Lead,2,4,204,2026-08-10,2030-07-07,Continuous,Backlog,aos-docs;program-controls;p2;review,Program,Program Operations and Specifications,monthly drift report; proposed source updates; orphaned/overdue relationship list,"compare IDs, states, dates, dependencies and links across systems",dated reconciliation report and approved changes,,Phase 0,Volume 06,,,,No
AOS-DOCS-020,Freeze and checksum the complete HyperOS/Agent OS source corpus,Task,AOS-DOCS,Source Corpus,AOS-DOCS-000,Freeze and checksum the complete HyperOS/Agent OS source corpus,"**Outcome.** Freeze and checksum the complete HyperOS/Agent OS source corpus.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-SRC-README#immutability, AOS-RES-005#authority. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.","The deliverable is linked to every listed specification and uses stable document/task/source identifiers.;The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.;Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.;Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.",,,AOS-SRC-README#immutability;AOS-RES-005#authority,P0,High,Documentation Lead,5,0,2,2026-07-13,2026-07-26,M0,Planned,aos-docs;source-corpus;phase-0;volume-01,Program,Program Operations and Specifications,Normative report or implementation for Freeze and checksum the complete HyperOS/Agent OS source corpus; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.,"Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.","Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.",AOS-SRC-NINDEX,Phase 0,Volume 01,,,,Yes
AOS-DOCS-021,Normalize the product vision into English source digests,Task,AOS-DOCS,Source Normalization,AOS-DOCS-000,Normalize the product vision into English source digests,"**Outcome.** Normalize the product vision into English source digests.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-SRC-N001#product-thesis, AOS-SRC-N002#implications. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.","The deliverable is linked to every listed specification and uses stable document/task/source identifiers.;The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.;Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.;Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.",,AOS-DOCS-020,AOS-SRC-N001#thesis;AOS-SRC-N002#downstream,P0,Medium,Product Research Lead,8,0,3,2026-07-13,2026-08-02,M0,Planned,aos-docs;source-normalization;phase-0;volume-01,Program,Program Operations and Specifications,Normative report or implementation for Normalize the product vision into English source digests; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.,"Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.","Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.",AOS-SRC-N001;AOS-SRC-N002,Phase 0,Volume 01,,,,Yes
AOS-DOCS-022,Publish the source authority and conflict map,Review,AOS-DOCS,Source Governance,AOS-DOCS-000,Publish the source authority and conflict map,"**Outcome.** Publish the source authority and conflict map.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-RES-005#authority, AOS-RES-005#conflicts. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.","The deliverable is linked to every listed specification and uses stable document/task/source identifiers.;The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.;Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.;Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.",,AOS-DOCS-020;AOS-DOCS-021,AOS-RES-005#authority;AOS-RES-005#conflicts,P0,High,Architecture Lead,8,1,3,2026-07-20,2026-08-09,M0,Planned,aos-docs;source-governance;phase-0;volume-04,Program,Program Operations and Specifications,Normative report or implementation for Publish the source authority and conflict map; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.,"Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.","Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.",AOS-SRC-NINDEX,Phase 0,Volume 04,CLM-001,,architecture;product,Yes
AOS-DOCS-023,Define canonical cross-reference and anchor syntax,Decision,AOS-DOCS,Documentation System,AOS-DOCS-000,Define canonical cross-reference and anchor syntax,"**Outcome.** Define canonical cross-reference and anchor syntax.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-META-001#xref-syntax, AOS-VAL-003#checks. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.","The deliverable is linked to every listed specification and uses stable document/task/source identifiers.;The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.;Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.;Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.",,AOS-DOCS-002,AOS-META-001#xref-syntax;AOS-VAL-003#checks,P0,Low,Documentation Lead,5,0,2,2026-07-13,2026-07-26,M0,Planned,aos-docs;documentation-system;phase-0;volume-01,Program,Program Operations and Specifications,Normative report or implementation for Define canonical cross-reference and anchor syntax; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.,"Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.","Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.",,Phase 0,Volume 01,,,,Yes
AOS-DOCS-024,Build the ten-volume coverage and ownership matrix,Task,AOS-DOCS,Documentation Program,AOS-DOCS-000,Build the ten-volume coverage and ownership matrix,"**Outcome.** Build the ten-volume coverage and ownership matrix.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-PLAN-011#volumes, AOS-PLAN-011#completion. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.","The deliverable is linked to every listed specification and uses stable document/task/source identifiers.;The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.;Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.;Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.",,AOS-DOCS-022,AOS-PLAN-011#volumes;AOS-PLAN-011#definition-of-done,P0,Medium,Program Lead,8,1,3,2026-07-20,2026-08-09,M0,Planned,aos-docs;documentation-program;phase-0;volume-06,Program,Program Operations and Specifications,Normative report or implementation for Build the ten-volume coverage and ownership matrix; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.,"Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.","Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.",,Phase 0,Volume 06,,,,Yes
AOS-DOCS-025,Build the Phase 0–8 execution and gate matrix,Task,AOS-DOCS,Program Model,AOS-DOCS-000,Build the Phase 0–8 execution and gate matrix,"**Outcome.** Build the Phase 0–8 execution and gate matrix.

**Scope.** Produce the normative artifact, executable evidence, decision record, and follow-up work required by AOS-PLAN-010#phase-table, AOS-PLAN-010#gates. Preserve the native Agent OS boundary: Android/Linux behavior may inform Pixel 9 experiments but must not become a portable API or runtime dependency.

**Method.** Start from the immutable source corpus and primary references; identify assumptions and legal constraints; perform the bounded analysis or experiment; record raw evidence and uncertainty; update claims, risks, tasks, and cross-linked specifications.","The deliverable is linked to every listed specification and uses stable document/task/source identifiers.;The result distinguishes verified evidence, reasoned inference, unresolved assumptions, and rejected claims.;Acceptance evidence is reproducible from a clean environment or includes exact target, procedure, artifacts, and limitations.;Android, Linux, vendor, confidential, and reverse-engineered details remain behind the approved boundary with provenance and retirement metadata where applicable.",,AOS-DOCS-024,AOS-PLAN-010#phase-table;AOS-PLAN-010#gates,P0,Medium,Program Lead,8,1,3,2026-07-20,2026-08-09,M0,Planned,aos-docs;program-model;phase-0;volume-06,Program,Program Operations and Specifications,Normative report or implementation for Build the Phase 0–8 execution and gate matrix; machine-readable metadata; updated claim/risk/task records; review notes and follow-up issue links.,"Run the relevant document, schema, conformance, build, experiment, or hardware checks; independently review boundary compliance and acceptance criteria.","Versioned report, raw logs/data or source diff, checksums, reviewer identity/status, and links to the exact specification anchors.",,Phase 0,Volume 06,,,,Yes
